"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2014-12-01T05:00:00.000Z","9,915.74","10,093","9,835.42","10,087","1.06","0.8891","0"
"2014-12-08T05:00:00.000Z","10,061","10,085","9,586.22","9,594.73","-4.88","-5.06","0"
"2014-12-15T05:00:00.000Z","9,599.82","9,901.26","9,219.05","9,786.96","2.00","1.83","0"
"2014-12-22T05:00:00.000Z","9,827.26","9,924.01","9,826.55","9,922.11","1.38","1.21","0"
"2014-12-29T05:00:00.000Z","9,914.87","9,927.85","9,687.26","9,764.73","-1.59","-1.76","0"
"2015-01-05T05:00:00.000Z","9,735.65","9,860.18","9,382.82","9,648.50","-1.19","-1.37","0"
"2015-01-12T05:00:00.000Z","9,697.46","10,208","9,622.32","10,168","5.38","5.21","0"
"2015-01-19T05:00:00.000Z","10,232","10,704","10,150","10,650","4.74","4.56","0"
"2015-01-26T05:00:00.000Z","10,593","10,811","10,553","10,694","0.4201","0.2444","0"
"2015-02-02T05:00:00.000Z","10,719","10,985","10,677","10,846","1.42","1.25","0"
"2015-02-09T05:00:00.000Z","10,765","11,014","10,594","10,963","1.08","0.9031","0"
"2015-02-16T05:00:00.000Z","10,947","11,082","10,765","11,051","0.7957","0.6201","0"
"2015-02-23T05:00:00.000Z","11,150","11,402","11,070","11,402","3.18","3.00","0"
"2015-03-02T05:00:00.000Z","11,408","11,600","11,193","11,551","1.31","1.13","0"
"2015-03-09T04:00:00.000Z","11,510","11,903","11,403","11,902","3.04","2.86","0"
"2015-03-16T04:00:00.000Z","11,956","12,219","11,787","12,039","1.16","0.9818","0"
"2015-03-23T04:00:00.000Z","11,985","12,031","11,620","11,868","-1.42","-1.60","0"
"2015-03-30T04:00:00.000Z","11,927","12,120","11,880","11,967","0.8347","0.6590","0"
"2015-04-06T04:00:00.000Z","12,057","12,391","12,018","12,375","3.40","3.23","0"
"2015-04-13T04:00:00.000Z","12,357","12,388","11,675","11,689","-5.54","-5.72","0"
"2015-04-20T04:00:00.000Z","11,736","12,079","11,676","11,811","1.05","0.8693","0"
"2015-04-27T04:00:00.000Z","11,881","12,051","11,331","11,454","-3.02","-3.19","0"
"2015-05-04T04:00:00.000Z","11,507","11,751","11,168","11,710","2.23","2.05","0"
"2015-05-11T04:00:00.000Z","11,675","11,702","11,219","11,447","-2.24","-2.42","0"
"2015-05-18T04:00:00.000Z","11,465","11,882","11,379","11,815","3.21","3.04","0"
"2015-05-25T04:00:00.000Z","11,841","11,920","11,404","11,414","-3.40","-3.57","0"
