"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2014-12-01T05:00:00.000Z","17,827","17,991","17,727","17,959","0.7323","0.5274","34,403"
"2014-12-08T05:00:00.000Z","17,955","17,961","17,281","17,281","-3.78","-3.98","51,624"
"2014-12-15T05:00:00.000Z","17,286","17,874","17,068","17,805","3.03","2.83","81,659"
"2014-12-22T05:00:00.000Z","17,812","18,103","17,812","18,054","1.40","1.19","27,678"
"2014-12-29T05:00:00.000Z","18,047","18,073","17,731","17,833","-1.22","-1.43","26,046"
"2015-01-05T05:00:00.000Z","17,821","17,916","17,262","17,737","-0.5362","-0.7410","51,734"
"2015-01-12T05:00:00.000Z","17,742","17,923","17,244","17,512","-1.27","-1.48","53,602"
"2015-01-19T05:00:00.000Z","17,517","17,841","17,347","17,673","0.9196","0.7147","42,423"
"2015-01-26T05:00:00.000Z","17,668","17,696","17,136","17,165","-2.87","-3.08","61,939"
"2015-02-02T05:00:00.000Z","17,170","17,951","17,038","17,824","3.84","3.64","49,700"
"2015-02-09T05:00:00.000Z","17,821","18,037","17,685","18,019","1.09","0.8895","46,380"
"2015-02-16T05:00:00.000Z","18,020","18,144","17,878","18,140","0.6720","0.4672","36,436"
"2015-02-23T05:00:00.000Z","18,141","18,244","18,055","18,133","-0.0427","-0.2475","42,608"
"2015-03-02T05:00:00.000Z","18,134","18,289","17,825","17,857","-1.52","-1.73","44,372"
"2015-03-09T04:00:00.000Z","17,857","18,031","17,620","17,749","-0.6018","-0.8067","53,357"
"2015-03-16T04:00:00.000Z","17,751","18,197","17,698","18,128","2.13","1.93","75,734"
"2015-03-23T04:00:00.000Z","18,137","18,206","17,579","17,713","-2.29","-2.49","51,278"
"2015-03-30T04:00:00.000Z","17,727","18,009","17,585","17,763","0.2856","0.0807","41,424"
"2015-04-06T04:00:00.000Z","17,756","18,067","17,647","18,058","1.66","1.45","45,296"
"2015-04-13T04:00:00.000Z","18,052","18,169","17,749","17,826","-1.28","-1.49","54,491"
"2015-04-20T04:00:00.000Z","17,841","18,133","17,841","18,080","1.42","1.22","50,897"
