"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2014-12-01T05:00:00.000Z","6,722.62","6,753.19","6,637.39","6,742.84","0.3008","0.2350","346,594"
"2014-12-08T05:00:00.000Z","6,742.84","6,742.84","6,297.44","6,300.63","-6.56","-6.62","370,843"
"2014-12-15T05:00:00.000Z","6,300.63","6,566.90","6,144.72","6,545.27","3.88","3.82","491,650"
"2014-12-22T05:00:00.000Z","6,545.27","6,620.95","6,545.27","6,609.93","0.9879","0.9221","115,195"
"2014-12-29T05:00:00.000Z","6,609.93","6,651.96","6,510.60","6,547.80","-0.9400","-1.01","121,796"
"2015-01-05T05:00:00.000Z","6,547.80","6,580.82","6,328.59","6,501.14","-0.7126","-0.7784","392,464"
"2015-01-12T05:00:00.000Z","6,501.14","6,558.83","6,298.15","6,550.27","0.7557","0.6899","415,766"
"2015-01-19T05:00:00.000Z","6,550.27","6,841.73","6,548.00","6,832.83","4.31","4.25","394,470"
"2015-01-26T05:00:00.000Z","6,832.83","6,864.97","6,749.40","6,749.40","-1.22","-1.29","372,033"
"2015-02-02T05:00:00.000Z","6,749.40","6,886.31","6,731.99","6,853.44","1.54","1.48","392,079"
"2015-02-09T05:00:00.000Z","6,853.44","6,887.57","6,777.99","6,873.52","0.2930","0.2272","367,008"
"2015-02-16T05:00:00.000Z","6,873.52","6,921.32","6,819.78","6,915.20","0.6064","0.5406","320,816"
"2015-02-23T05:00:00.000Z","6,915.20","6,967.24","6,885.89","6,946.66","0.4549","0.3891","399,066"
"2015-03-02T05:00:00.000Z","6,946.66","6,974.26","6,862.87","6,911.80","-0.5018","-0.5676","397,005"
"2015-03-09T04:00:00.000Z","6,911.80","6,911.80","6,693.80","6,740.58","-2.48","-2.54","398,010"
"2015-03-16T04:00:00.000Z","6,740.58","7,024.21","6,740.58","7,022.51","4.18","4.12","458,082"
"2015-03-23T04:00:00.000Z","7,022.51","7,065.08","6,839.88","6,855.02","-2.39","-2.45","380,713"
"2015-03-30T04:00:00.000Z","6,855.02","6,914.60","6,765.05","6,833.46","-0.3145","-0.3803","299,040"
"2015-04-06T04:00:00.000Z","6,833.46","7,095.36","6,833.46","7,089.77","3.75","3.68","316,511"
"2015-04-13T04:00:00.000Z","7,089.77","7,119.35","6,979.32","6,994.63","-1.34","-1.41","362,095"
"2015-04-20T04:00:00.000Z","6,994.63","7,105.13","6,994.63","7,070.70","1.09","1.02","364,481"
"2015-04-27T04:00:00.000Z","7,070.70","7,122.74","6,906.24","6,985.95","-1.20","-1.26","411,054"
"2015-05-04T04:00:00.000Z","6,985.95","7,053.18","6,810.05","7,046.82","0.8713","0.8055","436,406"
"2015-05-11T04:00:00.000Z","7,046.82","7,083.72","6,884.63","6,960.49","-1.23","-1.29","384,881"
"2015-05-18T04:00:00.000Z","6,960.49","7,061.66","6,931.64","7,031.72","1.02","0.9575","350,920"
