"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2014-12-01T05:00:00.000Z","23,678","24,170","23,294","24,003","0.0633","0.0655","1,779,116"
"2014-12-08T05:00:00.000Z","24,113","24,190","23,170","23,249","-3.14","-3.14","1,407,138"
"2014-12-15T05:00:00.000Z","22,978","23,190","22,530","23,117","-0.5702","-0.5680","1,099,541"
"2014-12-22T05:00:00.000Z","23,264","23,496","23,264","23,349","1.01","1.01","549,918"
"2014-12-29T05:00:00.000Z","23,695","23,867","23,443","23,858","2.18","2.18","675,219"
"2015-01-05T05:00:00.000Z","23,699","24,169","23,313","23,920","0.2604","0.2626","1,173,069"
"2015-01-12T05:00:00.000Z","24,119","24,369","23,905","24,104","0.7674","0.7696","778,683"
"2015-01-19T05:00:00.000Z","23,971","24,896","23,590","24,850","3.10","3.10","1,075,092"
"2015-01-26T05:00:00.000Z","24,907","24,995","24,450","24,507","-1.38","-1.38","787,587"
"2015-02-02T05:00:00.000Z","24,347","25,048","24,324","24,679","0.7032","0.7054","887,093"
"2015-02-09T05:00:00.000Z","24,530","24,703","24,226","24,683","0.0128","0.0149","650,033"
"2015-02-16T05:00:00.000Z","24,717","24,872","24,654","24,832","0.6059","0.6080","275,404"
"2015-02-23T05:00:00.000Z","24,916","25,102","24,665","24,823","-0.0354","-0.0332","700,095"
"2015-03-02T05:00:00.000Z","24,997","24,998","24,126","24,164","-2.66","-2.65","829,943"
"2015-03-09T04:00:00.000Z","23,983","24,206","23,677","23,823","-1.41","-1.41","807,424"
"2015-03-16T04:00:00.000Z","23,771","24,525","23,711","24,375","2.32","2.32","812,050"
"2015-03-23T04:00:00.000Z","24,538","24,614","24,295","24,486","0.4552","0.4574","762,685"
"2015-03-30T04:00:00.000Z","24,727","25,298","24,726","25,276","3.22","3.23","922,821"
"2015-04-06T04:00:00.000Z","25,708","27,923","25,640","27,272","7.90","7.90","1,285,280"
"2015-04-13T04:00:00.000Z","27,374","28,032","27,304","27,653","1.40","1.40","1,938,484"
"2015-04-20T04:00:00.000Z","27,771","28,214","26,960","28,061","1.47","1.48","1,375,042"
"2015-04-27T04:00:00.000Z","28,245","28,589","27,998","28,133","0.2567","0.2588","1,081,621"
"2015-05-04T04:00:00.000Z","28,231","28,344","27,207","27,577","-1.98","-1.97","1,058,792"
"2015-05-11T04:00:00.000Z","27,837","27,929","27,191","27,822","0.8882","0.8904","869,704"
"2015-05-18T04:00:00.000Z","27,792","28,041","27,393","27,993","0.6130","0.6152","776,236"
"2015-05-25T04:00:00.000Z","28,462","28,525","27,242","27,424","-2.03","-2.03","1,098,197"
"2015-06-01T04:00:00.000Z","27,373","27,855","27,095","27,260","-0.5981","-0.5959","1,083,061"
"2015-06-08T04:00:00.000Z","27,147","27,429","26,574","27,281","0.0748","0.0769","1,047,205"
"2015-06-15T04:00:00.000Z","27,095","27,131","26,553","26,761","-1.91","-1.90","914,802"
"2015-06-22T04:00:00.000Z","26,854","27,471","26,522","26,664","-0.3612","-0.3590","990,497"
"2015-06-29T04:00:00.000Z","26,560","26,632","25,618","26,064","-2.25","-2.25","987,465"
"2015-07-06T04:00:00.000Z","26,084","26,262","22,837","24,901","-4.46","-4.46","2,007,601"
"2015-07-13T04:00:00.000Z","24,710","25,517","24,596","25,415","2.06","2.07","878,738"
"2015-07-20T04:00:00.000Z","25,540","25,634","25,073","25,129","-1.13","-1.13","595,646"
"2015-07-27T04:00:00.000Z","24,907","24,947","24,141","24,636","-1.96","-1.96","892,209"
"2015-08-03T04:00:00.000Z","24,533","24,642","24,218","24,552","-0.3402","-0.3380","606,423"
