"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2014-12-01T05:00:00.000Z","4,777.73","4,788.98","4,724.62","4,780.76","-0.2269","-0.5289","229,028"
"2014-12-08T05:00:00.000Z","4,769.76","4,793.24","4,653.60","4,653.60","-2.66","-2.96","240,159"
"2014-12-15T05:00:00.000Z","4,679.67","4,782.13","4,547.31","4,765.38","2.40","2.10","357,088"
"2014-12-22T05:00:00.000Z","4,759.04","4,814.95","4,757.80","4,806.86","0.8704","0.5684","131,640"
"2014-12-29T05:00:00.000Z","4,801.26","4,813.72","4,698.11","4,726.81","-1.67","-1.97","141,872"
"2015-01-05T05:00:00.000Z","4,700.34","4,744.71","4,567.59","4,704.07","-0.4811","-0.7831","249,134"
"2015-01-12T05:00:00.000Z","4,714.07","4,751.34","4,563.11","4,634.38","-1.48","-1.78","265,947"
"2015-01-19T05:00:00.000Z","4,655.84","4,771.18","4,601.10","4,757.88","2.66","2.36","186,731"
"2015-01-26T05:00:00.000Z","4,752.36","4,774.18","4,601.76","4,635.24","-2.58","-2.88","263,316"
"2015-02-02T05:00:00.000Z","4,650.60","4,787.18","4,580.46","4,744.40","2.36","2.05","262,494"
"2015-02-09T05:00:00.000Z","4,723.73","4,893.84","4,719.61","4,893.84","3.15","2.85","222,286"
"2015-02-16T05:00:00.000Z","4,889.99","4,957.02","4,880.64","4,955.97","1.27","0.9676","169,727"
"2015-02-23T05:00:00.000Z","4,953.10","4,989.25","4,939.56","4,963.53","0.1525","-0.1495","222,829"
"2015-03-02T05:00:00.000Z","4,973.43","5,008.57","4,918.63","4,927.37","-0.7285","-1.03","226,281"
"2015-03-09T04:00:00.000Z","4,936.08","4,950.47","4,842.80","4,871.76","-1.13","-1.43","221,458"
"2015-03-16T04:00:00.000Z","4,897.27","5,042.14","4,889.09","5,026.42","3.17","2.87","276,441"
"2015-03-23T04:00:00.000Z","5,020.60","5,032.48","4,825.93","4,891.22","-2.69","-2.99","221,388"
"2015-03-30T04:00:00.000Z","4,921.78","4,948.46","4,844.39","4,886.94","-0.0875","-0.3895","177,033"
"2015-04-06T04:00:00.000Z","4,855.94","4,996.08","4,852.91","4,995.98","2.23","1.93","197,848"
"2015-04-13T04:00:00.000Z","5,001.55","5,024.25","4,912.33","4,931.81","-1.28","-1.59","204,927"
"2015-04-20T04:00:00.000Z","4,958.07","5,100.37","4,952.68","5,092.08","3.25","2.95","206,969"
"2015-04-27T04:00:00.000Z","5,104.36","5,119.83","4,921.55","5,005.39","-1.70","-2.00","247,889"
"2015-05-04T04:00:00.000Z","5,018.35","5,043.62","4,888.17","5,003.55","-0.0368","-0.3388","231,191"
"2015-05-11T04:00:00.000Z","5,003.26","5,062.65","4,931.60","5,048.29","0.8942","0.5922","203,516"
"2015-05-18T04:00:00.000Z","5,040.92","5,103.84","5,037.54","5,089.36","0.8135","0.5115","194,979"
"2015-05-25T04:00:00.000Z","5,076.91","5,111.54","5,016.74","5,070.03","-0.3798","-0.6818","181,335"
"2015-06-01T04:00:00.000Z","5,094.94","5,114.60","5,025.52","5,068.46","-0.0310","-0.3330","210,048"
"2015-06-08T04:00:00.000Z","5,066.65","5,101.39","4,974.62","5,051.10","-0.3425","-0.6445","196,700"
"2015-06-15T04:00:00.000Z","5,011.79","5,143.32","4,985.94","5,117.00","1.30","1.00","262,593"
"2015-06-22T04:00:00.000Z","5,147.87","5,164.36","5,060.82","5,080.51","-0.7131","-1.02","280,834"
"2015-06-29T04:00:00.000Z","5,021.21","5,051.01","4,956.23","5,009.21","-1.40","-1.71","180,951"
"2015-07-06T04:00:00.000Z","4,963.80","5,020.71","4,901.51","4,997.70","-0.2298","-0.5318","222,851"
"2015-07-13T04:00:00.000Z","5,037.27","5,210.16","5,036.68","5,210.14","4.25","3.95","198,080"
"2015-07-20T04:00:00.000Z","5,223.18","5,231.94","5,084.51","5,088.63","-2.33","-2.63","214,731"
"2015-07-27T04:00:00.000Z","5,055.92","5,155.02","5,025.61","5,128.28","0.7792","0.4772","232,182"
"2015-08-03T04:00:00.000Z","5,134.34","5,175.26","5,006.15","5,043.54","-1.65","-1.95","226,022"
"2015-08-10T04:00:00.000Z","5,081.72","5,112.47","4,945.79","5,048.24","0.0932","-0.2088","208,081"
"2015-08-17T04:00:00.000Z","5,032.34","5,092.69","4,706.04","4,706.04","-6.78","-7.08","230,096"
"2015-08-24T04:00:00.000Z","4,351.61","4,836.78","4,292.14","4,828.32","2.60","2.30","331,716"
"2015-08-31T04:00:00.000Z","4,798.68","4,824.61","4,614.91","4,683.92","-2.99","-3.29","236,695"
