"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2014-12-01T05:00:00.000Z","17,475","17,922","17,474","17,920","2.64","2.43","68"
"2014-12-08T05:00:00.000Z","18,005","18,031","17,044","17,372","-3.06","-3.27","81"
"2014-12-15T05:00:00.000Z","17,111","17,621","16,673","17,621","1.44","1.23","83"
"2014-12-22T05:00:00.000Z","17,686","17,875","17,573","17,819","1.12","0.9176","43"
"2014-12-29T05:00:00.000Z","17,915","17,915","17,451","17,451","-2.07","-2.27","21"
"2015-01-05T05:00:00.000Z","17,326","17,541","16,808","17,198","-1.45","-1.65","72"
"2015-01-12T05:00:00.000Z","16,971","17,142","16,593","16,864","-1.94","-2.14","62"
"2015-01-19T05:00:00.000Z","17,001","17,532","16,912","17,512","3.84","3.64","65"
"2015-01-26T05:00:00.000Z","17,286","17,851","17,286","17,674","0.9288","0.7252","71"
"2015-02-02T05:00:00.000Z","17,537","17,743","17,272","17,649","-0.1465","-0.3500","82"
"2015-02-09T05:00:00.000Z","17,790","18,005","17,550","17,913","1.50","1.30","60"
"2015-02-16T05:00:00.000Z","18,024","18,361","17,901","18,332","2.34","2.14","79"
"2015-02-23T05:00:00.000Z","18,500","18,865","18,402","18,798","2.54","2.34","77"
"2015-03-02T05:00:00.000Z","18,869","18,980","18,587","18,971","0.9206","0.7171","70"
"2015-03-09T04:00:00.000Z","18,873","19,336","18,577","19,254","1.49","1.29","77"
"2015-03-16T04:00:00.000Z","19,245","19,565","19,227","19,560","1.59","1.39","68"
"2015-03-23T04:00:00.000Z","19,608","19,779","19,100","19,286","-1.40","-1.61","74"
"2015-03-30T04:00:00.000Z","19,295","19,607","18,928","19,435","0.7749","0.5714","70"
"2015-04-06T04:00:00.000Z","19,295","20,006","19,241","19,908","2.43","2.23","63"
"2015-04-13T04:00:00.000Z","19,967","19,976","19,638","19,653","-1.28","-1.48","702,661"
"2015-04-20T04:00:00.000Z","19,501","20,252","19,474","20,020","1.87","1.66","850,756"
"2015-04-27T04:00:00.000Z","20,064","20,134","19,399","19,532","-2.44","-2.64","605,319"
"2015-05-04T04:00:00.000Z","19,356","19,461","19,258","19,379","-0.7805","-0.9840","347,310"
"2015-05-11T04:00:00.000Z","19,638","19,792","19,468","19,733","1.83","1.62","961,691"
"2015-05-18T04:00:00.000Z","19,766","20,321","19,741","20,264","2.69","2.49","890,575"
"2015-05-25T04:00:00.000Z","20,332","20,655","20,319","20,563","1.47","1.27","937,990"
"2015-06-01T04:00:00.000Z","20,445","20,620","20,363","20,461","-0.4972","-0.7008","879,956"
"2015-06-08T04:00:00.000Z","20,538","20,545","20,016","20,407","-0.2630","-0.4665","824,056"
"2015-06-15T04:00:00.000Z","20,205","20,401","19,991","20,174","-1.14","-1.34","668,239"
"2015-06-22T04:00:00.000Z","20,174","20,953","20,174","20,706","2.64","2.43","758,861"
"2015-06-29T04:00:00.000Z","20,306","20,602","20,093","20,540","-0.8034","-1.01","740,605"
"2015-07-06T04:00:00.000Z","20,200","20,428","19,115","19,780","-3.70","-3.90","956,555"
"2015-07-13T04:00:00.000Z","19,930","20,659","19,911","20,651","4.40","4.20","682,844"
"2015-07-20T04:00:00.000Z","20,763","20,850","20,528","20,545","-0.5152","-0.7187","509,642"
"2015-07-27T04:00:00.000Z","20,374","20,585","20,071","20,585","0.1982","-0.0053","762,115"
"2015-08-03T04:00:00.000Z","20,540","20,817","20,397","20,725","0.6768","0.4733","827,835"
"2015-08-10T04:00:00.000Z","20,618","20,947","20,303","20,519","-0.9897","-1.19","775,099"
"2015-08-17T04:00:00.000Z","20,600","20,669","19,436","19,436","-5.28","-5.48","703,016"
