"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2014-12-01T05:00:00.000Z","2,065.78","2,079.47","2,049.57","2,075.37","0.3777","0.1463","257"
"2014-12-08T05:00:00.000Z","2,074.84","2,075.78","2,002.33","2,002.33","-3.52","-3.75","288"
"2014-12-15T05:00:00.000Z","2,005.03","2,077.85","1,972.56","2,070.65","3.41","3.18","432"
"2014-12-22T05:00:00.000Z","2,069.28","2,092.70","2,069.28","2,088.77","0.8751","0.6436","154"
"2014-12-29T05:00:00.000Z","2,087.63","2,093.55","2,046.04","2,058.20","-1.46","-1.69","148"
"2015-01-05T05:00:00.000Z","2,054.44","2,064.43","1,992.44","2,044.81","-0.6506","-0.8820","289"
"2015-01-12T05:00:00.000Z","2,046.13","2,056.93","1,988.12","2,019.42","-1.24","-1.47","316"
"2015-01-19T05:00:00.000Z","2,020.76","2,064.62","2,004.49","2,051.82","1.60","1.37","232"
"2015-01-26T05:00:00.000Z","2,050.42","2,057.62","1,989.18","1,994.99","-2.77","-3.00","325"
"2015-02-02T05:00:00.000Z","1,996.67","2,072.40","1,980.90","2,055.47","3.03","2.80","306"
"2015-02-09T05:00:00.000Z","2,053.47","2,097.03","2,041.88","2,096.99","2.02","1.79","261"
"2015-02-16T05:00:00.000Z","2,096.47","2,110.61","2,085.44","2,110.30","0.6347","0.4033","210"
"2015-02-23T05:00:00.000Z","2,109.83","2,119.59","2,103.00","2,104.50","-0.2748","-0.5063","258"
"2015-03-02T05:00:00.000Z","2,105.23","2,117.52","2,067.27","2,071.26","-1.58","-1.81","263"
"2015-03-09T04:00:00.000Z","2,072.25","2,083.49","2,039.69","2,053.40","-0.8623","-1.09","274"
"2015-03-16T04:00:00.000Z","2,055.35","2,113.92","2,055.35","2,108.10","2.66","2.43","374"
"2015-03-23T04:00:00.000Z","2,107.99","2,114.86","2,045.50","2,061.02","-2.23","-2.46","275"
"2015-03-30T04:00:00.000Z","2,064.11","2,088.97","2,048.38","2,066.96","0.2882","0.0568","221"
"2015-04-06T04:00:00.000Z","2,064.87","2,102.61","2,056.52","2,102.06","1.70","1.47","247"
"2015-04-13T04:00:00.000Z","2,102.03","2,111.91","2,072.37","2,081.18","-0.9933","-1.22","266"
"2015-04-20T04:00:00.000Z","2,084.11","2,120.92","2,084.11","2,117.69","1.75","1.52","259"
"2015-04-27T04:00:00.000Z","2,119.29","2,125.92","2,077.59","2,108.29","-0.4439","-0.6753","289"
"2015-05-04T04:00:00.000Z","2,110.23","2,120.95","2,067.93","2,116.10","0.3704","0.1390","259"
"2015-05-11T04:00:00.000Z","2,115.56","2,123.89","2,085.57","2,122.73","0.3133","0.0819","250"
"2015-05-18T04:00:00.000Z","2,121.30","2,134.72","2,120.01","2,126.06","0.1569","-0.0746","231"
"2015-05-25T04:00:00.000Z","2,125.34","2,126.22","2,099.18","2,107.39","-0.8782","-1.11","226"
"2015-06-01T04:00:00.000Z","2,108.64","2,121.92","2,085.67","2,092.83","-0.6909","-0.9223","250"
"2015-06-08T04:00:00.000Z","2,092.34","2,115.02","2,072.14","2,094.11","0.0612","-0.1703","246"
"2015-06-15T04:00:00.000Z","2,091.34","2,126.65","2,072.49","2,109.99","0.7583","0.5269","320"
"2015-06-22T04:00:00.000Z","2,112.50","2,129.87","2,095.38","2,101.49","-0.4028","-0.6343","288"
"2015-06-29T04:00:00.000Z","2,098.63","2,098.63","2,056.32","2,076.78","-1.18","-1.41","232"
"2015-07-06T04:00:00.000Z","2,073.95","2,083.74","2,044.02","2,076.62","-0.0077","-0.2391","262"
"2015-07-13T04:00:00.000Z","2,080.03","2,128.91","2,080.03","2,126.64","2.41","2.18","270"
"2015-07-20T04:00:00.000Z","2,126.85","2,132.82","2,077.09","2,079.65","-2.21","-2.44","286"
"2015-07-27T04:00:00.000Z","2,078.19","2,114.24","2,063.52","2,103.84","1.16","0.9317","298"
"2015-08-03T04:00:00.000Z","2,104.49","2,112.66","2,067.91","2,077.57","-1.25","-1.48","281"
"2015-08-10T04:00:00.000Z","2,080.98","2,105.35","2,052.09","2,091.54","0.6724","0.4410","268"
"2015-08-17T04:00:00.000Z","2,089.70","2,103.47","1,970.89","1,970.89","-5.77","-6.00","318"
"2015-08-24T04:00:00.000Z","1,965.15","1,993.48","1,867.01","1,988.87","0.9123","0.6808","506"
"2015-08-31T04:00:00.000Z","1,986.73","1,986.73","1,903.07","1,921.22","-3.40","-3.63","367"
"2015-09-07T04:00:00.000Z","1,927.30","1,988.63","1,927.30","1,961.05","2.07","1.84","261"
"2015-09-14T04:00:00.000Z","1,963.06","2,020.86","1,948.27","1,958.03","-0.1540","-0.3854","424"
"2015-09-21T04:00:00.000Z","1,960.84","1,979.64","1,908.92","1,931.34","-1.36","-1.59","317"
"2015-09-28T04:00:00.000Z","1,929.18","1,951.36","1,871.91","1,951.36","1.04","0.8051","380"
"2015-10-05T04:00:00.000Z","1,954.33","2,020.13","1,954.33","2,014.89","3.26","3.02","337"
"2015-10-12T04:00:00.000Z","2,015.65","2,033.54","1,990.73","2,033.11","0.9043","0.6728","304"
"2015-10-19T04:00:00.000Z","2,031.73","2,079.74","2,017.22","2,075.15","2.07","1.84","331"
"2015-10-26T04:00:00.000Z","2,075.08","2,094.32","2,058.84","2,079.36","0.2029","-0.0286","325"
"2015-11-02T05:00:00.000Z","2,080.76","2,116.48","2,080.76","2,099.20","0.9541","0.7227","303"
"2015-11-09T05:00:00.000Z","2,096.56","2,096.56","2,022.02","2,023.04","-3.63","-3.86","297"
"2015-11-16T05:00:00.000Z","2,022.08","2,097.06","2,019.39","2,089.17","3.27","3.04","312"
"2015-11-23T05:00:00.000Z","2,089.41","2,095.61","2,070.29","2,090.11","0.0450","-0.1864","186"
"2015-11-30T05:00:00.000Z","2,090.95","2,104.27","2,042.35","2,091.69","0.0756","-0.1558","351"
"2015-12-07T05:00:00.000Z","2,090.42","2,090.42","2,008.80","2,012.37","-3.79","-4.02","334"
"2015-12-14T05:00:00.000Z","2,013.37","2,076.72","1,993.26","2,005.55","-0.3389","-0.5703","460"
"2015-12-21T05:00:00.000Z","2,010.27","2,067.36","2,005.93","2,060.99","2.76","2.53","195"
"2015-12-28T05:00:00.000Z","2,057.77","2,081.56","2,043.62","2,043.94","-0.8273","-1.06","156"
"2016-01-04T05:00:00.000Z","2,038.20","2,038.20","1,918.46","1,922.03","-5.96","-6.20","382"
"2016-01-11T05:00:00.000Z","1,926.12","1,950.33","1,857.83","1,880.33","-2.17","-2.40","452"
"2016-01-18T05:00:00.000Z","1,888.66","1,908.85","1,812.29","1,906.90","1.41","1.18","362"
"2016-01-25T05:00:00.000Z","1,906.28","1,940.24","1,872.70","1,940.24","1.75","1.52","430"
"2016-02-01T05:00:00.000Z","1,936.94","1,947.20","1,872.23","1,880.05","-3.10","-3.33","413"
"2016-02-08T05:00:00.000Z","1,873.25","1,881.60","1,810.10","1,864.78","-0.8122","-1.04","439"
"2016-02-15T05:00:00.000Z","1,871.44","1,930.68","1,871.44","1,917.78","2.84","2.61","325"
"2016-02-22T05:00:00.000Z","1,924.44","1,962.96","1,891.00","1,948.05","1.58","1.35","321"
"2016-02-29T05:00:00.000Z","1,947.13","2,009.13","1,931.81","1,999.99","2.67","2.43","372"
"2016-03-07T05:00:00.000Z","1,996.11","2,022.37","1,969.25","2,022.19","1.11","0.8786","327"
"2016-03-14T04:00:00.000Z","2,019.27","2,052.36","2,005.23","2,049.58","1.35","1.12","410"
"2016-03-21T04:00:00.000Z","2,047.88","2,056.60","2,022.49","2,035.94","-0.6655","-0.8969","223"
"2016-03-28T04:00:00.000Z","2,037.89","2,075.07","2,028.31","2,072.78","1.81","1.58","284"
"2016-04-04T04:00:00.000Z","2,073.19","2,074.02","2,033.80","2,047.60","-1.21","-1.45","293"
"2016-04-11T04:00:00.000Z","2,050.23","2,087.84","2,039.74","2,080.73","1.62","1.39","306"
"2016-04-18T04:00:00.000Z","2,078.83","2,111.05","2,073.65","2,091.58","0.5215","0.2900","310"
"2016-04-25T04:00:00.000Z","2,089.37","2,099.89","2,052.28","2,065.30","-1.26","-1.49","339"
"2016-05-02T04:00:00.000Z","2,067.17","2,083.42","2,039.45","2,057.14","-0.3951","-0.6265","305"
"2016-05-09T04:00:00.000Z","2,057.55","2,084.87","2,043.13","2,046.61","-0.5119","-0.7433","281"
"2016-05-16T04:00:00.000Z","2,046.53","2,071.88","2,025.91","2,052.32","0.2790","0.0476","310"
"2016-05-23T04:00:00.000Z","2,052.23","2,099.06","2,047.26","2,099.06","2.28","2.05","263"
"2016-05-30T04:00:00.000Z","2,100.13","2,105.26","2,085.10","2,099.13","0.0033","-0.2281","266"
"2016-06-06T04:00:00.000Z","2,100.83","2,120.55","2,089.96","2,096.07","-0.1458","-0.3772","260"
"2016-06-13T04:00:00.000Z","2,091.75","2,098.12","2,050.37","2,071.22","-1.19","-1.42","357"
"2016-06-20T04:00:00.000Z","2,075.58","2,113.32","2,032.57","2,037.41","-1.63","-1.86","358"
"2016-06-27T04:00:00.000Z","2,031.45","2,108.71","1,991.68","2,102.95","3.22","2.99","374"
"2016-07-04T04:00:00.000Z","2,095.05","2,131.71","2,074.02","2,129.90","1.28","1.05","244"
"2016-07-11T04:00:00.000Z","2,131.72","2,169.05","2,131.72","2,161.74","1.49","1.26","280"
"2016-07-18T04:00:00.000Z","2,162.04","2,175.63","2,159.01","2,175.03","0.6148","0.3833","258"
"2016-07-25T04:00:00.000Z","2,173.71","2,177.09","2,159.07","2,173.60","-0.0657","-0.2972","306"
"2016-08-01T04:00:00.000Z","2,173.15","2,182.87","2,147.58","2,182.87","0.4265","0.1950","277"
"2016-08-08T04:00:00.000Z","2,183.76","2,188.45","2,172.00","2,184.05","0.0541","-0.1774","225"
"2016-08-15T04:00:00.000Z","2,186.08","2,193.81","2,168.50","2,183.87","-0.0082","-0.2397","252"
"2016-08-22T04:00:00.000Z","2,181.58","2,193.42","2,160.39","2,169.04","-0.6791","-0.9105","236"
"2016-08-29T04:00:00.000Z","2,170.19","2,184.87","2,157.09","2,179.98","0.5044","0.2729","256"
"2016-09-05T04:00:00.000Z","2,181.61","2,187.87","2,127.81","2,127.81","-2.39","-2.62","234"
"2016-09-12T04:00:00.000Z","2,120.86","2,163.30","2,119.12","2,139.16","0.5334","0.3020","402"
"2016-09-19T04:00:00.000Z","2,143.99","2,179.99","2,135.91","2,164.69","1.19","0.9620","262"
"2016-09-26T04:00:00.000Z","2,158.54","2,175.30","2,141.55","2,168.27","0.1654","-0.0661","304"
"2016-10-03T04:00:00.000Z","2,164.33","2,165.86","2,144.01","2,153.74","-0.6701","-0.9016","281"
"2016-10-10T04:00:00.000Z","2,160.39","2,169.60","2,114.74","2,132.98","-0.9639","-1.20","260"
"2016-10-17T04:00:00.000Z","2,132.95","2,148.44","2,124.43","2,141.16","0.3835","0.1521","273"
"2016-10-24T04:00:00.000Z","2,148.50","2,154.79","2,119.36","2,126.41","-0.6889","-0.9203","287"
"2016-10-31T04:00:00.000Z","2,129.78","2,133.25","2,083.79","2,085.18","-1.94","-2.17","325"
"2016-11-07T05:00:00.000Z","2,100.59","2,182.30","2,100.59","2,164.45","3.80","3.57","389"
"2016-11-14T05:00:00.000Z","2,165.64","2,189.89","2,156.08","2,181.90","0.8062","0.5748","329"
"2016-11-21T05:00:00.000Z","2,186.43","2,213.35","2,186.43","2,213.35","1.44","1.21","195"
"2016-11-28T05:00:00.000Z","2,210.21","2,214.10","2,187.44","2,191.95","-0.9669","-1.20","353"
"2016-12-05T05:00:00.000Z","2,200.65","2,259.80","2,199.97","2,259.53","3.08","2.85","1,190"
"2016-12-12T05:00:00.000Z","2,258.83","2,277.53","2,248.44","2,258.07","-0.0646","-0.2961","1,347"
"2016-12-19T05:00:00.000Z","2,259.24","2,272.56","2,256.08","2,263.79","0.2533","0.0219","803"
"2016-12-26T05:00:00.000Z","2,266.23","2,273.82","2,233.62","2,238.83","-1.10","-1.33","528"
"2017-01-02T05:00:00.000Z","2,251.57","2,282.10","2,245.13","2,276.98","1.70","1.47","856"
"2017-01-09T05:00:00.000Z","2,273.59","2,279.27","2,254.25","2,274.64","-0.1028","-0.3342","989"
"2017-01-16T05:00:00.000Z","2,269.14","2,276.96","2,258.41","2,271.31","-0.1464","-0.3778","856"
"2017-01-23T05:00:00.000Z","2,267.78","2,300.99","2,257.02","2,294.69","1.03","0.7979","1,101"
"2017-01-30T05:00:00.000Z","2,286.01","2,298.31","2,267.21","2,297.42","0.1190","-0.1125","1,167"
"2017-02-06T05:00:00.000Z","2,294.28","2,319.23","2,285.38","2,316.10","0.8131","0.5816","1,028"
"2017-02-13T05:00:00.000Z","2,321.72","2,351.31","2,321.42","2,351.16","1.51","1.28","1,058"
"2017-02-20T05:00:00.000Z","2,354.91","2,368.26","2,352.87","2,367.34","0.6882","0.4567","845"
"2017-02-27T05:00:00.000Z","2,365.23","2,400.98","2,358.96","2,383.12","0.6666","0.4351","1,095"
"2017-03-06T05:00:00.000Z","2,375.23","2,378.80","2,354.54","2,372.60","-0.4414","-0.6729","992"
"2017-03-13T04:00:00.000Z","2,371.56","2,390.01","2,358.18","2,378.25","0.2381","0.0067","1,091"
"2017-03-20T04:00:00.000Z","2,378.24","2,381.93","2,335.74","2,343.98","-1.44","-1.67","1,044"
"2017-03-27T04:00:00.000Z","2,329.11","2,370.42","2,322.25","2,362.72","0.7995","0.5681","946"
"2017-04-03T04:00:00.000Z","2,362.34","2,378.36","2,344.73","2,355.54","-0.3039","-0.5353","978"
"2017-04-10T04:00:00.000Z","2,357.16","2,366.37","2,328.95","2,328.95","-1.13","-1.36","710"
"2017-04-17T04:00:00.000Z","2,332.62","2,361.37","2,332.51","2,348.69","0.8476","0.6162","964"
"2017-04-24T04:00:00.000Z","2,370.33","2,398.16","2,369.19","2,384.20","1.51","1.28","1,122"
"2017-05-01T04:00:00.000Z","2,388.50","2,399.29","2,379.75","2,399.29","0.6329","0.4015","1,060"
"2017-05-08T04:00:00.000Z","2,399.94","2,403.87","2,381.74","2,390.90","-0.3497","-0.5811","950"
"2017-05-15T04:00:00.000Z","2,393.98","2,405.77","2,352.72","2,381.73","-0.3835","-0.6150","1,121"
"2017-05-22T04:00:00.000Z","2,387.21","2,418.71","2,386.92","2,415.82","1.43","1.20","896"
"2017-05-29T04:00:00.000Z","2,411.67","2,440.23","2,403.59","2,439.07","0.9624","0.7310","856"
"2017-06-05T04:00:00.000Z","2,437.83","2,446.20","2,415.70","2,431.77","-0.2993","-0.5307","1,067"
"2017-06-12T04:00:00.000Z","2,425.88","2,443.75","2,418.53","2,433.15","0.0567","-0.1747","1,240"
"2017-06-19T04:00:00.000Z","2,442.55","2,453.82","2,430.74","2,438.30","0.2117","-0.0198","1,099"
"2017-06-26T04:00:00.000Z","2,443.32","2,450.42","2,405.70","2,423.41","-0.6107","-0.8421","1,032"
"2017-07-03T04:00:00.000Z","2,431.39","2,439.17","2,407.70","2,425.18","0.0730","-0.1584","689"
"2017-07-10T04:00:00.000Z","2,424.51","2,463.54","2,412.79","2,459.27","1.41","1.17","887"
"2017-07-17T04:00:00.000Z","2,459.50","2,477.62","2,450.34","2,472.54","0.5396","0.3082","920"
"2017-07-24T04:00:00.000Z","2,472.04","2,484.04","2,459.93","2,472.10","-0.0178","-0.2492","1,130"
"2017-07-31T04:00:00.000Z","2,475.94","2,480.38","2,466.48","2,476.83","0.1913","-0.0401","1,030"
"2017-08-07T04:00:00.000Z","2,477.14","2,490.87","2,437.75","2,441.32","-1.43","-1.67","903"
"2017-08-14T04:00:00.000Z","2,454.96","2,474.93","2,420.69","2,425.55","-0.6460","-0.8774","885"
"2017-08-21T04:00:00.000Z","2,425.50","2,454.77","2,417.35","2,443.05","0.7215","0.4900","799"
"2017-08-28T04:00:00.000Z","2,447.35","2,480.38","2,428.20","2,476.55","1.37","1.14","818"
"2017-09-04T04:00:00.000Z","2,470.35","2,471.97","2,446.55","2,461.43","-0.6105","-0.8420","827"
"2017-09-11T04:00:00.000Z","2,474.52","2,500.23","2,474.52","2,500.23","1.58","1.34","1,072"
"2017-09-18T04:00:00.000Z","2,502.51","2,508.85","2,496.54","2,502.22","0.0796","-0.1518","939"
"2017-09-25T04:00:00.000Z","2,499.39","2,519.44","2,488.03","2,519.36","0.6850","0.4536","948"
"2017-10-02T04:00:00.000Z","2,521.20","2,552.51","2,520.40","2,549.33","1.19","0.9581","866"
"2017-10-09T04:00:00.000Z","2,551.39","2,557.65","2,541.60","2,553.17","0.1506","-0.0808","900"
"2017-10-16T04:00:00.000Z","2,555.57","2,575.44","2,547.92","2,575.21","0.8632","0.6318","936"
"2017-10-23T04:00:00.000Z","2,578.08","2,582.98","2,544.00","2,581.07","0.2276","-0.0039","1,160"
"2017-10-30T04:00:00.000Z","2,577.75","2,588.42","2,566.17","2,587.84","0.2623","0.0309","1,126"
"2017-11-06T05:00:00.000Z","2,587.47","2,597.02","2,566.33","2,582.30","-0.2141","-0.4455","1,058"
"2017-11-13T05:00:00.000Z","2,576.53","2,590.09","2,557.45","2,578.85","-0.1336","-0.3650","1,053"
"2017-11-20T05:00:00.000Z","2,579.49","2,604.21","2,578.24","2,602.42","0.9140","0.6825","603"
"2017-11-27T05:00:00.000Z","2,602.66","2,657.74","2,598.87","2,642.22","1.53","1.30","1,209"
"2017-12-04T05:00:00.000Z","2,657.19","2,665.19","2,624.75","2,651.50","0.3512","0.1198","1,082"
"2017-12-11T05:00:00.000Z","2,652.19","2,679.63","2,651.47","2,675.81","0.9168","0.6854","1,158"
"2017-12-18T05:00:00.000Z","2,685.92","2,694.97","2,676.11","2,683.34","0.2814","0.0500","947"
"2017-12-25T05:00:00.000Z","2,679.09","2,692.12","2,673.61","2,673.61","-0.3626","-0.5940","477"
"2018-01-01T05:00:00.000Z","2,683.73","2,743.45","2,682.36","2,743.15","2.60","2.37","835"
"2018-01-08T05:00:00.000Z","2,742.67","2,787.85","2,736.06","2,786.24","1.57","1.34","1,018"
"2018-01-15T05:00:00.000Z","2,798.96","2,810.33","2,768.64","2,810.30","0.8635","0.6321","977"
"2018-01-22T05:00:00.000Z","2,809.16","2,872.87","2,808.12","2,872.87","2.23","2.00","1,131"
"2018-01-29T05:00:00.000Z","2,867.23","2,870.62","2,759.97","2,762.13","-3.85","-4.09","1,259"
"2018-02-05T05:00:00.000Z","2,741.06","2,763.39","2,532.69","2,619.55","-5.16","-5.39","1,739"
"2018-02-12T05:00:00.000Z","2,636.75","2,754.42","2,622.45","2,732.22","4.30","4.07","1,170"
"2018-02-19T05:00:00.000Z","2,722.99","2,747.76","2,697.77","2,747.30","0.5519","0.3205","833"
"2018-02-26T05:00:00.000Z","2,757.37","2,789.15","2,647.32","2,691.25","-2.04","-2.27","1,231"
"2018-03-05T05:00:00.000Z","2,681.06","2,786.57","2,675.75","2,786.57","3.54","3.31","1,087"
"2018-03-12T04:00:00.000Z","2,790.54","2,801.90","2,741.47","2,752.01","-1.24","-1.47","1,215"
"2018-03-19T04:00:00.000Z","2,741.38","2,741.38","2,585.89","2,588.26","-5.95","-6.18","1,141"
"2018-03-26T04:00:00.000Z","2,619.35","2,674.78","2,593.06","2,640.87","2.03","1.80","986"
"2018-04-02T04:00:00.000Z","2,633.45","2,672.08","2,553.80","2,604.47","-1.38","-1.61","1,105"
"2018-04-09T04:00:00.000Z","2,617.18","2,680.26","2,610.79","2,656.30","1.99","1.76","959"
"2018-04-16T04:00:00.000Z","2,670.10","2,717.49","2,660.61","2,670.14","0.5210","0.2896","1,024"
"2018-04-23T04:00:00.000Z","2,675.40","2,683.55","2,612.67","2,669.91","-0.0086","-0.2401","1,112"
"2018-04-30T04:00:00.000Z","2,675.05","2,682.92","2,594.62","2,663.42","-0.2431","-0.4745","1,114"
"2018-05-07T04:00:00.000Z","2,669.36","2,732.86","2,655.20","2,727.72","2.41","2.18","973"
"2018-05-14T04:00:00.000Z","2,733.37","2,742.10","2,701.91","2,712.97","-0.5407","-0.7722","945"
"2018-05-21T04:00:00.000Z","2,725.95","2,742.24","2,707.38","2,721.33","0.3081","0.0767","938"
"2018-05-28T04:00:00.000Z","2,705.11","2,736.93","2,676.81","2,734.62","0.4884","0.2569","903"
"2018-06-04T04:00:00.000Z","2,741.67","2,779.90","2,739.51","2,779.03","1.62","1.39","1,004"
"2018-06-11T04:00:00.000Z","2,780.18","2,791.47","2,761.73","2,779.66","0.0227","-0.2088","1,210"
"2018-06-18T04:00:00.000Z","2,765.79","2,774.99","2,743.19","2,754.88","-0.8915","-1.12","1,146"
"2018-06-25T04:00:00.000Z","2,742.94","2,746.09","2,691.99","2,718.37","-1.33","-1.56","1,126"
"2018-07-02T04:00:00.000Z","2,704.95","2,764.41","2,698.95","2,759.82","1.52","1.29","620"
"2018-07-09T04:00:00.000Z","2,768.51","2,804.53","2,768.51","2,801.31","1.50","1.27","903"
"2018-07-16T04:00:00.000Z","2,801.43","2,816.76","2,789.24","2,801.83","0.0186","-0.2129","978"
"2018-07-23T04:00:00.000Z","2,799.17","2,848.03","2,795.14","2,818.82","0.6064","0.3749","1,126"
"2018-07-30T04:00:00.000Z","2,819.00","2,840.38","2,796.34","2,840.35","0.7638","0.5324","1,076"
"2018-08-06T04:00:00.000Z","2,840.29","2,863.43","2,825.81","2,833.28","-0.2489","-0.4804","866"
"2018-08-13T04:00:00.000Z","2,835.46","2,855.63","2,802.49","2,850.13","0.5947","0.3633","964"
"2018-08-20T04:00:00.000Z","2,853.93","2,876.16","2,850.62","2,874.69","0.8617","0.6303","848"
"2018-08-27T04:00:00.000Z","2,884.69","2,916.50","2,884.69","2,901.52","0.9333","0.7019","914"
