"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2014-12-01T05:00:00.000Z","14.16","14.75","11.53","11.82","-11.33","-12.72","0"
"2014-12-08T05:00:00.000Z","13.05","23.06","12.55","21.08","78.34","76.95","0"
"2014-12-15T05:00:00.000Z","19.59","25.20","16.07","16.49","-21.77","-23.16","0"
"2014-12-22T05:00:00.000Z","16.32","16.88","14.01","14.50","-12.07","-13.46","0"
"2014-12-29T05:00:00.000Z","16.04","20.14","15.06","17.79","22.69","21.30","0"
"2015-01-05T05:00:00.000Z","19.19","22.90","16.44","17.55","-1.35","-2.74","0"
"2015-01-12T05:00:00.000Z","18.02","23.43","17.65","20.95","19.37","17.98","0"
"2015-01-19T05:00:00.000Z","20.07","21.37","15.81","16.66","-20.48","-21.87","0"
"2015-01-26T05:00:00.000Z","16.96","22.18","15.52","20.97","25.87","24.48","0"
"2015-02-02T05:00:00.000Z","20.89","22.81","16.06","17.29","-17.55","-18.94","0"
"2015-02-09T05:00:00.000Z","19.16","19.28","14.69","14.69","-15.04","-16.43","0"
"2015-02-16T05:00:00.000Z","15.86","16.74","14.27","14.30","-2.65","-4.04","0"
"2015-02-23T05:00:00.000Z","15.05","15.48","12.86","13.34","-6.71","-8.10","0"
"2015-03-02T05:00:00.000Z","13.90","15.83","12.87","15.20","13.94","12.55","0"
"2015-03-09T04:00:00.000Z","15.72","17.19","14.71","16.00","5.26","3.87","0"
"2015-03-16T04:00:00.000Z","15.78","16.37","12.54","13.02","-18.63","-20.01","0"
"2015-03-23T04:00:00.000Z","13.52","17.19","12.59","15.07","15.75","14.36","0"
"2015-03-30T04:00:00.000Z","14.76","16.66","14.08","14.67","-2.65","-4.04","0"
"2015-04-06T04:00:00.000Z","15.75","15.76","12.51","12.58","-14.25","-15.64","0"
"2015-04-13T04:00:00.000Z","13.17","15.02","12.50","13.89","10.41","9.02","0"
"2015-04-20T04:00:00.000Z","13.67","13.80","12.12","12.29","-11.52","-12.91","0"
"2015-04-27T04:00:00.000Z","12.34","15.29","12.33","12.70","3.34","1.95","0"
"2015-05-04T04:00:00.000Z","13.12","16.36","12.63","12.86","1.26","-0.1296","0"
"2015-05-11T04:00:00.000Z","13.35","15.13","12.35","12.38","-3.73","-5.12","0"
"2015-05-18T04:00:00.000Z","13.08","13.27","11.82","12.13","-2.02","-3.41","0"
"2015-05-25T04:00:00.000Z","13.45","14.63","13.05","13.84","14.10","12.71","0"
"2015-06-01T04:00:00.000Z","13.92","15.65","13.40","14.21","2.67","1.28","0"
"2015-06-08T04:00:00.000Z","14.84","15.74","12.56","13.78","-3.03","-4.42","0"
"2015-06-15T04:00:00.000Z","15.48","15.62","12.54","13.96","1.31","-0.0832","0"
"2015-06-22T04:00:00.000Z","13.42","14.91","11.93","14.02","0.4298","-0.9596","0"
"2015-06-29T04:00:00.000Z","16.70","19.80","15.39","16.79","19.76","18.37","0"
"2015-07-06T04:00:00.000Z","18.65","20.05","15.93","16.83","0.2382","-1.15","0"
"2015-07-13T04:00:00.000Z","15.29","15.36","11.77","11.95","-29.00","-30.39","0"
"2015-07-20T04:00:00.000Z","12.25","14.73","11.71","13.74","14.98","13.59","0"
"2015-07-27T04:00:00.000Z","15.60","16.27","11.82","12.12","-11.79","-13.18","0"
"2015-08-03T04:00:00.000Z","12.85","14.58","10.88","13.39","10.48","9.09","0"
"2015-08-10T04:00:00.000Z","12.73","16.28","12.18","12.83","-4.18","-5.57","0"
"2015-08-17T04:00:00.000Z","14.32","28.38","13.01","28.03","118.47","117.08","0"
"2015-08-24T04:00:00.000Z","28.03","53.29","24.49","26.05","-7.06","-8.45","0"
"2015-08-31T04:00:00.000Z","27.03","33.82","23.45","27.80","6.72","5.33","0"
"2015-09-07T04:00:00.000Z","25.05","27.22","21.51","23.20","-16.55","-17.94","0"
"2015-09-14T04:00:00.000Z","24.03","25.32","17.87","22.28","-3.97","-5.35","0"
"2015-09-21T04:00:00.000Z","21.97","26.29","20.05","23.62","6.01","4.62","0"
"2015-09-28T04:00:00.000Z","25.02","28.33","20.35","20.94","-11.35","-12.74","0"
"2015-10-05T04:00:00.000Z","20.31","20.42","16.34","17.08","-18.43","-19.82","0"
"2015-10-12T04:00:00.000Z","17.68","18.78","15.05","15.05","-11.89","-13.27","0"
"2015-10-19T04:00:00.000Z","15.68","16.70","13.24","14.46","-3.92","-5.31","0"
"2015-10-26T04:00:00.000Z","14.76","15.99","12.80","15.07","4.22","2.83","0"
